name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,r1_3_1,r1_3_2,r1_3_3,r1_3_4,r1_3_5,r1_4_1,r1_4_2,r1_4_3,r1_4_4,r1_5_1,r1_5_2,r1_5_3,r1_5_4,r1_5_5,r1_6_1,r1_6_2,r1_6_3,r1_6_4,r1_6_5
Actb,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,27.16806,26.88122,26.49415,27.35842,26.64513,28.47178,25.35535,28.53066,28.96741,27.36077,27.41716,27.58391,26.66357,28.36824,27.62471,27.47923,27.67949,27.57672,27.4763
Postn,24.46787,22.80931,22.41333,22.65844,22.69307,21.81319,21.47823,21.96364,21.58504,22.20036,23.40899,23.88772,25.37782,25.16273,25.34716,22.40912,22.26962,21.43492,21.65879,21.78975,23.69012,22.18147,21.81327,22.18371,22.32444,22.36167,23.38144,23.07601,18.88443
Itih1,31.72838,31.32432,31.65023,31.57745,31.49023,31.49929,31.53881,32.05449,31.99951,31.94514,30.98685,30.71408,30.63599,30.75653,30.77211,31.66623,32.31511,31.85293,31.66251,31.62047,31.68746,31.46665,31.56683,31.57529,31.02934,30.90498,30.82031,30.75262,30.88555
Azgp1,28.95662,28.09763,28.97836,27.37094,27.87496,27.52515,28.0878,28.39264,27.97323,28.00153,27.29667,28.19061,29.00338,28.82314,28.02274,28.48788,29.80692,28.84005,28.83572,27.58613,27.85389,27.4464,27.63388,27.48055,26.64031,28.11922,26.78344,26.99906,27.525
Saa1,20.31912,21.73835,21.91998,22.35049,21.30206,22.52614,21.83345,23.72306,22.20279,22.52493,27.45293,27.89897,27.71168,27.51473,27.82001,24.26076,25.01546,24.33885,24.56075,21.97341,21.99918,21.90583,23.75733,19.5964,22.59582,23.09575,22.37281,21.04401,21.94218
Hspa1b,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,23.15618,22.85986,24.96455,22.94887,23.63356,26.18452,18.67356,24.55754,24.98294,24.03179,24.08537,25.58887,23.6825,24.3345,24.33926,24.0035,25.1731,25.71025,24.26807
F5,26.78257,26.34641,26.43736,26.20738,26.37746,24.4789,20.74797,21.99133,26.14783,25.34048,24.63439,24.31299,24.36339,25.00363,24.45958,25.89106,26.20452,25.76058,25.12266,24.8375,23.26141,25.41103,23.17036,24.69742,24.86292,25.12892,25.04935,24.34177,25.04556
Gapdh,23.98876,23.92705,24.28093,24.10965,23.87145,26.60244,26.58749,27.04895,26.87771,26.20741,26.7929,25.49677,25.45717,24.80361,25.23056,25.06262,25.99697,25.26023,25.39313,26.28281,25.8953,25.96259,25.39116,26.18741,25.0792,21.82944,25.3585,24.49692,25.25638
C8a,32.5374,32.55364,32.7222,32.47808,32.49195,32.3787,32.41198,32.14686,32.08338,32.03692,31.06599,30.81245,30.70932,30.90347,30.91342,31.98966,32.76381,31.86518,32.05125,31.50422,31.69171,31.18264,31.4715,31.26702,31.32399,31.45508,31.48736,31.26997,31.25659
Afm,29.06907,28.63647,28.90693,28.95615,28.74073,29.80937,30.15255,29.85074,30.08309,29.92054,29.21343,29.56584,29.3083,29.6704,29.68572,29.54453,30.556,29.7342,29.46912,29.34693,29.8637,29.33716,29.40127,29.33368,29.52281,29.17886,29.27637,29.24259,29.34285
Apoc3,28.47046,27.18433,28.04672,28.08998,28.23923,28.13487,28.16245,30.16099,29.76951,29.21452,30.5601,29.8566,29.99994,29.86893,29.6328,27.89695,28.5708,28.20027,27.48278,29.89147,30.46149,29.56805,29.54366,29.9057,29.85012,29.58092,29.33317,29.51407,29.51766
Thbs1,25.951,26.23374,26.32872,25.92522,26.22395,29.68083,29.72571,29.51801,29.616,30.35584,24.59923,24.76289,25.05092,25.08464,24.87516,26.93607,27.12268,26.44795,26.51387,28.56285,28.8208,28.54598,28.77957,28.48808,27.17217,29.01842,28.50359,28.37766,28.25196
Masp1,26.87079,26.14453,25.62547,26.61372,26.10945,26.0059,26.0486,27.0475,26.37986,26.37655,23.78875,24.80872,24.38113,24.27916,24.71335,25.954,26.42614,24.36346,24.41629,26.04329,25.06122,25.24165,25.5657,25.95943,25.39447,25.39816,24.62383,25.91114,24.8447
Masp2,27.81287,27.44332,27.48616,27.63166,27.32234,27.68492,28.09924,28.57029,27.99793,28.03396,27.19995,26.6238,26.97989,27.12514,26.72715,28.03847,28.68134,28.0211,28.06456,27.43539,27.55647,27.9849,27.85073,27.86862,27.45811,27.46451,27.59612,27.6571,27.32612
Fgb,36.27098,35.94567,36.01095,36.00481,35.91981,35.73673,35.87009,35.8567,35.65117,35.79462,37.11177,37.06407,37.10641,37.06055,37.0472,35.70558,36.38648,35.63149,35.53206,36.94938,36.94022,36.82738,36.81967,36.93122,37.34485,37.20396,37.15295,37.28365,37.09437
F10,26.50142,26.84912,26.96036,26.80218,26.48979,26.95471,27.11297,27.41683,26.72221,26.62756,28.45293,28.43309,28.58459,28.08396,28.3993,26.5996,26.6476,26.79365,27.04218,27.87923,27.98153,27.68204,27.35178,27.65369,27.04281,27.4017,26.84254,28.01622,27.60703
Fga,36.42384,36.30864,36.50331,36.2294,36.27872,36.22128,36.28168,36.33133,36.08763,36.16809,36.77571,36.71919,36.69773,36.8082,36.87303,36.15028,36.62555,36.17905,36.1617,36.89442,37.01567,36.85248,36.77203,36.93726,37.22027,37.01245,37.01878,36.9509,37.02839
C8g,31.6032,31.10131,31.2194,31.27636,31.3687,30.67514,30.7601,30.86592,30.78371,30.71006,29.25492,29.09295,28.87719,29.28991,29.28569,30.85705,31.44456,30.67699,31.11042,30.18978,30.14407,29.75704,30.27764,29.91014,29.63782,29.48083,29.65103,29.50985,29.55812
Serpina1c,20.37891,22.35022,22.2398,20.70928,21.71032,20.33702,25.26464,27.48193,27.01871,19.84713,26.67627,25.09905,27.75945,28.2425,21.50213,26.04964,23.07909,20.30556,26.10125,24.27064,23.83942,24.83726,24.43237,24.73975,21.65844,22.64904,24.8783,24.92125,24.71057
Orm2,23.30354,22.41887,22.85291,22.0459,22.90947,22.80792,23.76699,22.12925,23.64878,19.71789,26.36033,28.46696,28.95649,28.39088,28.56027,23.49277,23.74694,23.34259,23.52073,23.13353,22.79725,23.71858,23.58795,24.22861,24.04068,26.0049,24.56424,26.62226,26.08257
Serpina1d,29.26537,28.99183,29.04984,28.40503,28.64293,31.19625,30.14637,31.06574,30.75151,30.16219,30.76509,30.67143,31.0584,31.0177,31.50782,29.80212,31.13919,30.58772,29.7828,29.91399,31.15376,29.84763,30.0651,29.78104,30.23729,31.92433,30.25519,30.32131,30.58082
Cfd,24.53938,25.02644,25.90773,24.85234,25.22648,25.42621,25.33334,25.7134,25.9252,25.86653,27.46272,26.6811,27.04072,26.95249,27.16643,25.56087,26.92513,24.89601,25.80386,26.36979,26.61765,26.03942,27.02284,26.10612,26.25296,27.22582,27.13222,27.23507,27.54422
Fgg,36.80869,37.11749,37.16339,36.81895,36.82086,36.80713,36.81633,36.65037,36.73138,36.81252,37.06075,37.03568,37.15332,36.90522,37.05126,36.66395,37.11148,36.68917,36.93452,37.02085,37.21413,36.90735,37.17273,37.03188,37.47908,37.40205,37.21422,37.15615,37.20223
Apoa4,30.47344,30.52328,30.72338,30.05427,30.17462,30.68228,30.93277,31.62383,31.03184,31.01731,31.71918,31.73739,31.56311,31.517,31.67712,31.13925,31.70804,31.0507,31.26109,31.13791,31.33963,30.85972,31.01737,31.05407,31.35458,31.38474,31.26623,31.1674,31.27231
F7,25.23867,26.69856,26.09122,25.73856,25.72967,25.50331,25.46201,22.16647,25.39421,25.04047,21.22624,22.1869,20.91121,21.517,22.88543,25.56648,19.06056,20.25697,25.26385,22.10719,22.90445,21.31594,20.47945,23.71209,21.61465,22.57097,22.34053,21.71807,22.00975
Vwf,31.09365,30.90038,31.04035,30.82661,30.89937,30.84408,30.94998,30.31624,30.68829,30.9901,31.86931,31.9664,31.92589,31.762,31.85853,30.79033,31.07922,30.70652,30.89201,30.92981,30.77085,30.80432,30.88045,30.8067,31.64031,31.64453,31.82354,31.64005,31.64108
C1qa,29.1046,29.88081,28.9627,29.64721,29.17362,28.29959,29.27719,29.27364,29.70198,29.05489,28.67,28.8896,29.20492,29.0379,28.19512,28.42422,27.05786,28.78179,29.02105,28.9445,29.09091,29.36234,29.28454,29.74807,30.24932,29.87332,30.26607,30.14734,29.81722
Cfi,30.64873,30.55646,30.73675,30.71457,30.63417,30.36474,30.85831,31.16477,30.60373,30.82851,29.89764,30.03407,30.01969,29.83106,29.97528,30.73884,31.27409,30.74999,30.81658,30.38525,30.36087,30.25338,30.21743,30.28096,29.86629,29.88018,29.76986,29.62525,30.09169
Serpina1e,30.17855,30.07099,30.65156,30.58611,30.76097,30.9899,31.22274,31.1111,31.57871,30.76145,33.39803,33.66797,33.60234,33.87592,33.08385,31.19771,31.35893,30.37772,31.28967,30.50038,31.03852,30.49324,31.1511,30.72127,31.91392,32.28819,32.05482,32.10262,32.3219
Serpina1a,29.30236,29.33658,28.50021,28.69952,28.25314,29.48281,29.57906,30.26863,30.02855,29.85028,31.71584,31.77498,31.64847,31.39979,31.3638,29.44508,29.57062,29.14681,29.22734,30.06587,30.54619,29.65784,30.02842,30.30443,30.61553,30.75446,30.37493,30.66357,30.28538
Serpina1b,32.34992,32.01432,32.13231,32.07658,32.05006,32.84648,32.67131,33.3965,32.76361,32.85242,34.13109,34.31311,34.24743,34.18984,34.36098,32.38263,33.21986,32.34311,32.42265,33.10137,33.11795,33.25195,32.94864,33.15944,33.55556,33.52624,33.50687,33.22647,33.51277
Fn1,36.36315,36.33842,36.45424,36.27534,36.14811,36.072,36.20044,36.31086,36.20893,36.29914,35.21317,35.24044,35.27777,35.3381,35.33288,36.29192,36.92172,36.4192,36.45118,36.04633,35.99812,35.91296,35.9516,36.07172,35.83752,35.74665,35.76695,35.70081,35.68348
Apob,25.13665,24.74935,24.47265,24.69641,24.79942,24.95034,25.13453,24.34564,25.35202,25.64493,23.8374,24.56987,23.99066,24.06308,25.08302,24.69402,25.40996,24.75735,24.67751,25.91383,24.95398,25.26985,25.74904,26.09517,24.48081,24.1418,25.25303,24.48001,25.42256
B2m,30.30704,29.35243,27.92937,29.46546,29.58072,29.94405,30.46714,31.1505,29.69493,30.34647,30.16579,29.87814,30.09798,29.93677,29.37733,30.07074,27.99496,29.57152,30.08284,29.38852,29.30769,29.35538,29.70817,29.68251,29.42954,29.76595,29.95518,29.54738,29.9348
Trf,36.70032,36.57978,36.65411,36.48203,36.64219,36.56652,36.64622,36.83975,36.64876,36.61105,36.3728,36.19164,36.21558,36.23435,36.19806,36.34485,36.86602,36.57176,36.49389,36.05745,36.11726,36.04486,36.09187,36.1668,36.18266,36.08141,36.0711,35.97831,36.01174
C1s1,27.04009,27.04354,27.15045,27.03454,27.18414,24.77721,25.27331,23.52552,26.75047,25.4456,26.47613,26.65376,26.42177,26.30887,25.87591,25.23352,25.47101,25.12971,26.42678,25.68547,25.94601,26.77052,25.567,25.96649,27.67587,27.64093,28.30391,28.73844,27.755
C1ra,27.33339,27.38837,27.2141,27.46505,26.75073,26.52145,26.72442,26.93876,26.53095,25.77407,27.24581,26.95494,26.45731,26.93236,26.62296,25.94429,25.95981,25.43492,26.0704,26.54515,25.85,26.51134,26.64458,26.17526,27.50574,27.69604,27.91228,27.59456,28.31099
C1s2,22.12237,20.51316,20.98475,21.74061,21.62475,25.22088,21.89093,24.39992,23.39077,19.98245,21.60747,21.91853,21.76596,19.66092,21.40536,19.18226,18.92981,19.66237,19.14977,21.37055,21.67932,21.31374,20.71003,20.92347,22.75562,22.70498,22.63914,22.45911,22.29443
Gc,31.66953,31.63629,31.80085,31.52706,31.47663,31.94122,31.82589,31.96051,31.72379,31.90537,32.19856,32.0909,32.19554,32.30664,32.34765,31.6132,32.39471,31.72911,31.85712,31.6103,31.52725,31.51291,31.2386,31.37285,31.66488,31.61065,31.62958,31.65121,31.59881
Serpina3m,27.98,23.74684,23.72307,29.65915,21.97148,25.81225,26.0712,26.53909,26.99873,26.15157,27.17646,27.68023,27.07898,27.24554,26.85745,26.58018,28.4367,26.47256,26.26858,22.38602,26.51096,21.85022,20.52795,22.30891,24.16192,28.04682,23.61482,21.5306,22.1327
Cfh,33.07823,32.98111,33.12027,32.80394,32.79877,32.51289,32.66833,33.18261,32.88815,32.84024,32.36557,32.19844,32.33801,32.23906,32.45917,32.68794,33.39228,32.80409,32.78109,32.67295,32.61603,32.54116,32.44352,32.40469,32.06493,32.04261,32.15551,32.28129,32.22239
Crp,27.46443,26.82687,27.05009,26.72546,26.80759,26.7599,26.75735,26.86219,26.23301,26.59363,25.3131,25.18492,25.2851,25.72793,25.44661,27.47638,28.0078,27.37567,27.6102,25.24652,24.73934,24.98251,25.18982,25.20041,25.34076,25.24071,25.22792,25.06415,25.80233
Hpx,34.18305,33.60631,33.6345,33.77814,33.70934,33.09206,33.42029,34.23984,33.64495,33.64141,33.84941,33.60156,33.58654,33.58206,33.833,33.01355,33.70862,33.08754,32.9781,32.87201,32.93874,32.57382,32.76369,32.81677,33.1231,32.9193,33.01588,33.00189,32.94871
Ttr,27.32088,28.17241,27.52388,27.54185,27.36561,28.27658,28.47773,29.25138,28.73847,28.93222,28.25332,29.07278,28.44063,29.21,29.14962,28.29509,28.87807,28.63606,28.08922,28.52966,28.23863,27.4624,28.00308,27.97273,28.20149,28.09929,27.88291,28.50374,27.65554
Cp,33.97937,33.72456,33.78819,33.43104,33.73782,33.24147,33.27517,34.1254,33.54248,33.52449,33.09528,33.05195,33.08585,32.94725,33.11378,33.78195,34.50474,33.8717,33.84689,33.42767,33.59067,33.48183,33.42517,33.50119,33.15881,33.00681,33.07082,32.93512,32.9817
Serpinf2,31.71473,31.64972,30.88008,30.96231,31.23106,31.29576,31.29685,31.94632,31.00283,30.4747,31.31214,31.17872,31.4512,31.15804,31.25586,31.15007,32.07253,31.37607,31.22291,31.30666,31.35468,31.22837,30.86762,31.03715,31.10362,30.85058,31.2522,30.81069,30.98685
Apoe,31.79977,31.20833,31.3294,31.18689,31.32684,31.5612,31.90293,32.51817,32.19569,32.10986,31.64513,31.44618,31.73723,31.53055,31.74835,31.1494,31.78792,31.30427,31.29028,31.47812,31.69004,31.34588,31.3715,31.58808,31.4898,31.33058,31.28196,31.27014,31.08328
Serpinc1,30.22527,29.92337,29.93677,29.51032,29.49861,29.94559,30.12102,30.87708,30.01079,30.10124,30.33607,30.23717,30.33127,30.35815,30.26863,29.93171,30.73279,29.95934,30.12571,30.16639,30.06471,30.08626,30.07457,30.14771,30.32012,30.28207,30.0444,30.02155,30.07189
Hp,31.38499,29.79231,30.09144,30.5389,30.69661,20.05073,21.77439,22.55377,24.28741,20.59122,32.32467,31.78807,31.63179,31.60276,31.54222,29.49692,31.052,29.86613,30.58477,26.00811,22.26254,21.43847,21.47224,21.62814,28.75618,28.24036,28.90188,28.382,28.04359
Klkb1,30.16531,29.95685,30.10375,29.82139,29.63461,30.05297,30.22665,31.07865,30.11843,30.25305,29.41222,29.48205,29.45531,29.36311,29.34769,30.16615,30.97678,30.06933,30.29263,29.94391,29.98387,30.00959,29.82722,29.92054,29.83256,29.75377,29.92323,29.85491,29.51326
Apoa1,33.69737,33.70234,33.716,33.27184,33.39624,34.98282,35.08243,35.21737,35.07631,35.1905,35.58852,35.38763,35.36179,35.58009,35.47949,34.6275,35.27118,34.42286,34.69416,34.99517,35.2094,34.9982,35.0633,35.11393,35.13151,35.16684,35.19436,34.68071,35.1356
Lrp1,24.87727,25.66253,24.79476,24.44727,24.51887,24.25285,24.28609,24.54451,24.38337,24.74525,24.29593,24.81953,25.26935,25.08327,24.50306,24.64218,25.34692,24.14126,24.77841,24.2062,24.42201,24.22545,24.58658,24.60264,24.26033,24.14032,24.12629,24.09708,24.1943
Hspa5,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,23.15618,22.85986,24.96455,22.94887,23.63356,26.18452,18.67356,24.55754,24.98294,24.03179,24.08537,25.58887,23.6825,24.3345,24.33926,24.0035,25.1731,25.71025,24.26807
Hspa1l,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,23.15618,22.85986,24.96455,22.94887,23.63356,26.18452,18.67356,24.55754,24.98294,24.03179,24.08537,25.58887,23.6825,24.3345,24.33926,24.0035,25.1731,25.71025,24.26807
Psmb1,27.18386,25.78457,25.79741,26.81995,26.1419,24.04552,24.31838,24.42208,24.37994,23.70071,23.06392,24.51008,23.94494,23.73107,20.66666,24.54304,25.50355,24.81147,24.52826,24.93935,26.71227,25.35753,24.78252,25.1842,22.84946,24.43116,21.96335,24.07079,24.03011
Tns4,26.50064,27.75417,27.58355,27.64196,28.0502,27.61716,26.98783,22.97762,23.90601,24.23425,21.50543,21.69622,27.46131,28.09848,26.63603,27.11803,25.81002,26.52078,26.34745,27.94615,28.13883,27.23078,28.27418,26.4366,28.53531,28.67882,28.30313,27.86106,28.36022
Efemp1,27.71973,28.17212,28.44747,28.13648,27.83183,27.91855,28.12258,27.37724,28.20411,28.03575,26.65431,26.90173,26.86691,26.93146,26.95082,28.45971,29.52923,28.10505,27.73937,27.23891,27.04583,27.92756,27.42542,27.62024,27.33057,27.98549,27.29141,28.29294,27.84428
Psma6,27.33424,27.7179,27.88058,27.37194,27.47018,27.71973,27.87496,28.05082,27.90696,27.86426,26.06203,25.88171,25.77407,26.13649,26.25575,27.7166,27.27311,27.91906,27.61975,27.49823,27.40933,27.5285,27.56594,27.71745,26.42132,26.66628,26.59121,26.78619,27.10579
Thbs4,25.70137,29.66446,28.28039,28.7498,26.5234,27.76926,27.36261,23.81392,27.6047,27.6254,21.2083,23.63967,28.07862,27.12288,21.40834,27.61674,24.33552,26.4292,26.23772,26.81812,27.44482,28.39656,28.57376,28.09833,27.21531,29.45435,28.84607,27.9556,27.49793
Psmb5,25.01159,26.11064,25.68413,26.8381,26.2146,27.47869,27.13721,26.31662,23.47383,27.11813,22.4908,24.5099,24.15332,23.46899,24.7398,25.77359,23.49521,26.12654,25.83923,25.98166,26.96466,25.85457,26.43692,26.52613,24.41545,24.73702,24.79704,24.38667,24.3692
Ywhaz,22.58733,23.51099,23.15129,23.20413,24.10788,24.55725,23.59457,22.39171,23.71806,24.01333,21.88664,22.29914,21.4868,22.88984,21.59019,23.19101,20.4209,21.01895,22.12465,21.72071,21.2547,23.40088,21.86743,23.08156,19.80009,19.63791,23.05487,23.21234,22.37432
Hbb-bs,32.03348,31.84846,32.06278,31.88754,31.83628,33.14965,33.29351,33.35179,33.42567,33.62309,31.74101,31.32598,31.35862,31.35825,31.22395,32.6501,32.77085,32.88965,33.01815,32.90849,32.87562,33.01017,32.86502,32.99047,32.70728,32.51188,32.46663,32.49596,32.64687
Psmb8,27.14647,26.34934,27.16672,26.58549,22.94035,22.13177,22.55798,26.73092,22.01662,21.17184,19.72342,22.81728,24.8931,22.65792,24.14001,26.52076,28.07674,20.52815,22.35856,26.7145,26.52856,25.74638,25.95183,26.11474,25.71004,25.4478,25.68728,24.88213,20.86783
Psma7,28.4696,28.5423,28.36236,27.61744,27.91536,27.50431,27.47383,29.02433,28.55194,28.32436,26.06217,26.75468,26.23911,26.11351,26.88879,27.11008,29.02152,27.73253,27.58799,28.31069,28.15432,27.25746,27.81903,28.37563,24.77304,26.43479,26.51268,26.02802,26.50475
Psma1,28.54252,27.52171,28.12041,27.83689,27.91764,27.84308,28.44802,28.78525,27.69445,27.71862,22.72449,25.1195,25.13183,24.53528,24.07455,27.81507,26.08962,27.27311,27.82159,28.76291,28.28158,28.8043,28.0004,28.53934,25.40834,25.85436,25.9664,25.6923,28.50006
Spata5,22.73591,22.24841,22.6385,22.46306,22.40265,23.81939,25.12617,24.52289,24.02386,23.6699,21.57306,22.38563,21.79343,21.70147,21.3207,23.09536,23.6609,23.38653,23.41609,23.66471,24.44702,23.80223,23.60116,23.26542,23.13058,23.3377,23.5064,22.62507,22.97715
Mad2l1,23.18255,22.76486,20.52243,22.02273,21.65931,21.06139,21.94113,21.66118,22.22547,21.99393,28.34299,28.56012,27.90139,28.3382,27.72254,27.02232,27.21345,26.58892,26.70504,26.41384,27.20126,27.1041,26.74714,25.37063,26.66275,27.97449,27.78918,28.06054,26.82651
Psma5,27.19291,26.89389,27.15016,26.97509,26.75812,27.21113,27.11981,28.40406,27.87824,27.66044,26.14344,26.42166,26.27145,25.88437,26.7888,26.20583,28.14273,27.23571,26.32057,28.1784,27.70971,27.41683,27.48147,28.25223,27.44063,26.64856,26.93697,26.94592,26.86183
Psma4,25.38113,24.70978,24.89795,24.50688,24.18639,24.37657,28.12736,25.38281,24.99968,25.17851,23.87155,24.40406,23.93903,25.87526,23.41635,25.06997,25.42589,25.07243,24.64218,24.15205,24.99555,24.91027,24.33217,25.07202,24.02454,24.62834,23.54545,24.08302,23.66763
Hspa2,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,23.15618,22.85986,24.96455,22.94887,23.63356,26.18452,18.67356,24.55754,24.98294,24.03179,24.08537,25.58887,23.6825,24.3345,24.33926,24.0035,25.1731,25.71025,24.26807
Fap,22.10764,22.57957,22.55178,22.00027,21.85514,22.4084,23.58363,22.48413,23.10708,22.67284,23.79629,22.29897,22.52509,21.68169,21.50734,21.9416,22.95237,21.82334,22.17301,21.67642,22.33018,21.27458,21.28308,21.2592,21.26694,20.94592,20.77394,21.21104,20.83221
Mfap4,21.50158,21.75942,21.45363,22.45865,21.65521,22.20802,23.05437,23.02476,22.28136,24.64764,22.35222,22.40778,20.34937,23.38477,21.76631,22.18265,21.18258,21.92226,23.27725,19.25511,22.51177,18.89572,18.76014,19.35924,23.17557,22.48509,23.09157,23.65868,20.34765
Pkm,29.27782,28.3758,28.93247,28.2833,28.54499,27.8766,28.35758,28.82654,27.66363,27.87003,26.46226,26.61077,26.01129,26.97607,26.83376,28.60495,28.17016,28.14827,28.68234,27.26812,27.43086,27.79296,26.7465,27.35422,26.31365,27.33671,27.1418,26.85769,26.97989
Loxl1,24.53819,26.8629,26.96345,27.11018,20.37939,26.27249,25.48597,22.83609,24.83016,25.74512,21.12392,24.74445,24.02808,22.52718,22.95727,22.38178,18.45161,24.7684,21.79926,24.22575,24.72318,24.62729,25.99598,24.33306,24.51111,25.37348,25.51569,23.47667,24.67077
Psmb3,20.60679,23.57068,22.56428,23.89745,23.78925,22.50448,20.6183,22.63568,22.83295,22.71791,23.22372,21.73983,21.61311,21.63037,21.45924,22.22491,22.55782,22.46526,22.26939,22.57854,21.30201,20.0761,22.91314,22.81535,22.09619,22.11273,21.95308,21.97316,21.50945
Psma3,27.9034,28.1377,28.64578,28.07837,28.29505,28.10993,28.43944,28.40324,28.2135,28.26794,25.3133,24.48223,25.53234,21.92642,25.37229,27.38278,27.89035,27.16279,27.63762,27.29158,27.01988,27.96251,27.07561,28.44715,26.30419,25.60221,26.58534,27.477,26.30268
Ubtfl1,27.78044,28.77709,28.68057,28.85505,28.77011,30.2157,30.98502,29.47263,30.7071,30.64907,30.75693,29.96733,30.44678,30.12792,30.43788,29.9897,30.09522,29.9393,29.59048,30.00062,30.10475,30.18459,30.35773,22.67616,29.90211,30.30639,30.1726,29.96609,30.07022
Ces3a,25.76177,25.98724,26.12323,25.94822,26.29372,26.18139,27.11337,27.70405,26.53215,26.75022,25.26946,25.55336,25.50797,25.45617,25.7662,27.15151,25.05867,26.23285,26.11892,25.61082,25.72863,24.52415,24.56918,24.38502,25.82663,25.56424,25.71107,25.26746,25.54351
Actg2,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,27.16806,26.88122,26.49415,27.35842,26.64513,28.47178,25.35535,28.53066,28.96741,27.36077,27.41716,27.58391,26.66357,28.36824,27.62471,27.47923,27.67949,27.57672,27.4763
Actc1,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,27.16806,26.88122,26.49415,27.35842,26.64513,28.47178,25.35535,28.53066,28.96741,27.36077,27.41716,27.58391,26.66357,28.36824,27.62471,27.47923,27.67949,27.57672,27.4763
Pzp,38.28735,38.00864,37.90561,37.95139,37.93006,37.99449,38.11012,38.61541,38.16872,38.05854,37.09152,36.89859,36.9088,36.92968,37.01203,37.89001,38.64158,37.98953,38.00211,37.80622,37.7935,37.67122,37.702,37.71338,37.72986,37.54272,37.42561,37.49093,37.52773
Lifr,28.13726,28.36227,28.36632,28.51073,28.15141,27.51788,28.3554,27.44593,28.03994,28.49629,28.12918,28.61231,28.97826,28.69352,28.35506,27.88536,27.83635,27.40276,27.56158,27.91627,28.31631,27.78207,27.91508,27.87115,28.59733,28.17769,28.3699,28.61526,28.2166
Rpl13,23.49976,23.71665,22.92478,21.85847,22.58449,22.51114,22.58463,22.60169,22.37395,23.4543,22.75642,22.02341,23.86256,21.95119,23.33897,22.77704,22.42429,22.11712,22.47085,22.64467,22.34607,23.54863,22.89195,22.80339,22.11893,21.59644,22.28501,22.58953,21.85285
Psmb4,24.65802,24.11862,24.4051,24.18321,24.12195,25.85415,25.65537,26.45317,24.18473,25.07304,22.25669,21.36535,22.57801,21.95645,21.74913,23.74407,25.44259,24.95522,25.64971,22.27901,23.96693,23.38929,23.42884,23.83981,22.79444,21.58447,22.43233,22.28708,22.3388
Psmd2,21.11195,22.21933,21.80998,22.94263,21.59736,21.61473,22.77493,23.198,21.17249,22.91344,23.09394,21.0101,22.61072,23.19962,21.87418,20.37488,22.35519,21.82415,20.92088,23.0729,21.91011,22.54098,20.56082,21.14517,20.66411,22.37587,21.35,20.15126,22.57594
Psmb6,25.97708,27.98066,27.83629,27.78375,27.80144,28.13467,28.60035,26.97858,28.15841,28.40003,26.72078,26.85816,27.07357,27.0747,27.21873,28.27284,28.6568,27.99669,28.00908,27.91587,28.28074,28.37231,28.55406,28.54473,27.95316,28.08482,28.21062,28.05626,27.93624
Ric8,24.98742,25.62845,26.75735,21.46867,27.08142,25.86188,25.78309,26.03725,26.08831,26.48771,26.30848,23.71973,26.73841,26.29325,27.59427,24.82124,21.60387,24.56256,21.32789,26.75672,25.96175,25.89046,26.26839,26.48361,22.42934,26.55067,26.71358,26.65581,26.54868
Cps1,24.52461,22.27075,21.57565,22.42345,24.06336,24.73609,24.01954,24.53783,23.58636,24.01436,20.57273,21.9833,21.41559,23.49292,20.29879,21.67333,21.01206,23.21969,23.00516,24.94127,24.78586,21.5845,21.72409,21.53465,22.4893,22.79276,22.01514,23.65265,20.51867
Psmc2,21.91576,21.31746,22.25681,21.60821,21.38542,22.35427,23.35372,22.88609,22.34936,24.21171,20.3057,22.93625,22.99343,22.18869,22.56783,23.05639,22.19633,20.76409,24.24472,23.9898,24.01606,25.26033,24.43733,23.81909,23.40536,21.48703,23.68913,23.74181,21.90951
Ica,31.85938,31.85768,31.9566,31.88969,31.81,31.91389,32.03144,32.29811,31.80717,31.88533,31.02062,30.88562,30.90074,30.89041,30.89973,32.24318,32.80457,32.15536,32.32729,31.24053,31.17176,30.9262,31.10687,31.02736,30.77533,30.91577,30.86754,30.67354,30.83259
Qsox1,27.78967,27.35674,27.02295,27.74233,27.26284,26.47819,27.86862,27.96317,27.04541,25.73653,27.03444,25.98687,26.30786,27.09154,26.51706,28.00292,28.1277,27.15615,27.40088,26.12436,27.08406,26.19387,26.52753,26.54461,26.11221,25.76175,25.53792,26.1852,25.5407
