name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FoldCh
Kng1,32.46354,32.17926,32.29844,31.88453,31.96158,32.35474,32.48819,32.88351,32.31189,32.26693,0.303582
Hrg,30.74174,30.39703,30.3053,30.27609,30.51164,30.24751,30.29833,31.22234,30.38679,30.22159,0.028952
Adipoq,29.8054,30.41488,30.21686,29.99564,30.11558,29.83026,29.8897,28.62108,30.16806,29.8595,-0.435952
Serping1,25.56288,25.46026,25.87462,24.21911,25.39248,25.9183,26.27129,26.84218,26.32613,26.37612,1.044934
C3,36.36856,36.23676,36.11395,36.1177,36.08001,36.10969,36.25288,36.622,36.215,36.16693,0.089904
Cfb,31.32625,30.9808,30.9465,30.88314,30.90333,30.91356,31.22452,31.10674,31.21581,31.29433,0.142988
C2,27.99556,27.36244,27.99615,27.33552,27.26374,26.2299,26.35205,26.42044,26.19011,26.27172,-1.297838
Apom,24.51443,23.5566,23.34787,24.20195,23.92479,24.68362,24.35917,25.51554,25.08026,24.43752,0.906094
Mbl2,29.47363,29.18811,29.30609,29.00892,29.53966,28.85216,29.00563,29.86763,29.41949,29.27526,-0.019248
Rbp4,28.4006,27.87203,27.83418,27.70121,28.07592,26.15321,26.97399,27.03181,27.69179,27.60428,-0.885772
Spp2,27.75487,28.2196,28.04396,28.22927,27.88873,28.73512,28.70856,27.86308,28.50393,28.79625,0.494102
F13b,31.67522,31.19331,31.15237,31.04642,31.40274,30.55041,30.94259,31.66403,31.15973,31.28956,-0.172748
C4bp,33.25237,32.76497,32.85175,32.59312,32.79715,32.89876,32.99944,33.37904,33.14017,33.14151,0.259912
Pigr,26.44277,25.81184,25.52895,25.96351,25.42005,25.50939,25.27192,25.03574,25.33217,25.30574,-0.542432
Apcs,25.82721,25.74235,25.82505,25.77125,25.86387,24.05829,25.60062,26.04743,24.7964,24.82435,-0.740528
Hc,33.80097,33.70203,33.86903,33.55202,33.58318,33.45953,33.54881,33.63871,33.52811,33.51265,-0.163884
Gsn,32.01551,32.67485,32.67459,32.89005,32.46521,32.2681,32.34043,32.20405,32.22395,32.09005,-0.318726
Fcna,31.26198,31.8049,27.62031,31.71108,31.33047,31.56115,31.5879,31.04759,30.17736,31.64495,0.458042
