name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_4_1_norm,r1_4_2_norm,r1_4_3_norm,r14_4_norm,FoldCh_norm
Mst1,-0.791697569,-0.93861104,-0.776381078,-0.896340309,-0.833635487,-0.831395278,-0.52707808,-0.666264956,-0.60907631,0.595604005
Mmrn1,-1.479192029,-0.223583669,-0.486164995,-0.626359819,-0.273485647,-0.468303876,-0.267467135,-0.646015383,-0.597015219,0.411860691
Gpx3,0.36439307,0.366519865,0.369506692,0.282174314,0.468459245,0.306521067,0.461550617,0.319912267,0.326853176,0.011198324
Aldoa,-1.164141562,-1.044415927,-1.043257445,-1.084674215,-0.995445996,-1.025290339,-0.571988543,-0.88029568,-0.95095909,0.666429771
Gpx1,0.045628037,0.060218513,0.179031529,0.023607427,0.027649806,0.008857558,0.26860935,0.117064953,0.056838727,0.208080675
Apoc2,-0.559411859,-0.684878117,-0.750020522,-0.580129728,-0.665453019,-0.443886007,-0.234999795,-0.380038415,-0.532191183,0.858076875
Grn,-0.672772021,-0.583875013,-0.524436066,-0.572597236,-0.482104341,-0.542574555,-1.521149383,-0.324953785,-0.49851764,-0.785369237
Reln,-0.782208237,-0.559943592,-0.426123131,-0.744795881,-0.655406947,-0.608299661,-0.909235076,-0.704517597,-0.624225275,-0.418099487
Igfals,0.050818606,-0.176722867,-0.135231614,-0.121353166,-0.152040506,-0.175204914,-0.007504258,-0.064578863,-0.034713134,0.128524626
Acta2,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,0.113351315,-0.563685656,0.172645934,0.246659042,-1.150144418
F13a1,1.054211396,1.086268856,1.159392663,1.084780592,1.113252748,0.952698877,1.090548161,0.985718131,1.065534399,-0.102767311
Hspa1a,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.51032279,-2.061475942,-0.854469913,-0.814906145,-1.545096292
