name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_5_1_norm,r1_5_2_norm,r1_5_3_norm,r1_5_4_norm,r1_5_5_norm,FoldCh_norm
Gapdh,-1.030458565,-1.086613895,-0.982779474,-1.02744674,-1.024796901,-0.387053557,-0.548897538,-0.490047202,-0.613512979,-0.438666587,1.523900388
C8a,1.179317546,1.218506259,1.261915097,1.234308788,1.237537454,0.975615431,0.99817613,0.895390027,0.965135272,0.892290174,-0.786220298
Afm,0.282773443,0.171795158,0.247362091,0.28242837,0.253080186,0.412611916,0.510276527,0.405586922,0.427638197,0.385717436,0.526178519
Apoc3,0.128036072,-0.216232693,0.018615857,0.048326539,0.121468252,0.554724444,0.669827899,0.466866719,0.464607137,0.535597818,1.493248881
Thbs1,-0.523230389,-0.470240843,-0.438233085,-0.536748307,-0.407414896,0.207984909,0.231924387,0.1956023,0.266225247,0.164153766,1.978587182
Masp1,-0.285469766,-0.494078741,-0.625240663,-0.350665771,-0.437463882,-0.449562817,-0.771515193,-0.681389644,-0.568196884,-0.498401787,-0.45605202
Masp2,-0.041947302,-0.147027704,-0.13044773,-0.0755447,-0.119157205,-0.08625645,-0.105527872,0.046687803,0.025069054,0.00184318,0.226373126
Fgb,2.144427305,2.124894151,2.1364564,2.187486514,2.137133236,2.396678069,2.399014168,2.393542908,2.353689073,2.3764209,0.730075291
F10,-0.380949866,-0.305804508,-0.270267971,-0.299730237,-0.337648762,0.029575672,0.00792151,-0.033693327,-0.10447412,-0.054472667,0.825737825
Fga,2.183940769,2.221883745,2.267384307,2.248186989,2.231324341,2.382334761,2.419151928,2.400204621,2.341320225,2.378003498,0.488894815
C8g,0.937832018,0.830427638,0.862291936,0.909517059,0.942755589,0.632576554,0.585107853,0.517025967,0.65517152,0.536761184,-0.881027603
Serpina1c,-1.963584805,-1.507960292,-1.525554841,-1.946472847,-1.591956421,-0.91218406,-1.097616109,-0.788717536,-0.862445137,-0.817981704,2.312211312
Orm2,-1.207584142,-1.489616254,-1.362517207,-1.585221373,-1.277255622,-1.208943849,-1.37577341,-1.085622914,-1.081683231,-0.95191034,0.672287374
