name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_3_1,2_3_2,2_3_3,2_3_4,2_3_5,FC_3
Crp,-0.197439824,-0.172611134,-0.319916124,-0.181343802,-0.191251793,-0.088767605,-0.101834756,0.172702415,0.157148066,-0.265927712,0.278695993
Dnah8,0.420551403,0.324418164,0.595453151,0.641645293,0.966255712,0.597688502,-0.351830472,-0.070592365,-0.201438293,0.960867557,-0.611749995
Ecm1,0.194175908,0.293157387,-0.018168162,0.140581639,0.473476214,-0.951390409,-0.727829965,-0.533733877,-0.88892842,-0.77116002,-1.464636247
Ect2,-0.561717789,-0.803352074,0.234107799,0.330224252,0.534984043,-0.761852019,-0.632934973,-0.99467661,-1.051329723,-0.657678147,-1.163612454
Efemp1,0.118573054,0.313194194,-0.272569203,-0.848687481,0.022941968,-0.657838098,-1.032219992,-0.940639877,-0.424305432,-0.431026454,-0.844005746
Egfr,0.308435954,0.255067252,0.33792699,0.765061355,0.582466486,0.834095182,0.828891595,0.876398026,0.888788185,0.356452349,0.489202249
Eif2ak4,-1.331454116,-1.192079768,-2.051131845,0.566521928,-1.583520767,0.191566338,0.40073372,0.699654077,0.71691098,-0.945182861,1.957912497
F10,-0.918841048,-1.172851045,-1.205414692,-1.035285196,-0.793240672,-0.667056109,-0.725469541,-0.260790348,-0.50413903,-0.961744939,0.554436848
F12,-0.016959209,-0.341453436,-0.18322611,0.534633122,0.329426052,0.287960532,0.347454883,0.239598528,0.355866261,-0.582184938,0.123041785
F13a1,0.450137496,0.779107015,0.231069639,0.371287819,0.552415151,1.136291702,1.088092464,1.19458557,1.167344651,0.984939293,0.968907192
F13b,0.770097261,0.957932301,0.830092567,0.908862715,0.883113209,1.495998577,1.395358323,1.422481703,1.408392436,1.756800923,0.951070428
F2,0.837082832,0.954148999,0.870077793,0.898035295,0.778047854,0.909532804,0.88465286,0.851077299,0.807164565,-0.951625127,-0.417368956
F5,-0.344141103,-0.485226773,-0.547128625,-0.384798638,-0.268116335,-0.823316269,-0.582706261,-0.507283788,-0.517108514,-0.849140894,-0.385287337
Fbln1,-0.001163881,0.064826469,0.006003959,-0.518110621,-0.500831988,-0.874853967,-0.72768804,-0.873134723,-1.09309146,-0.798719736,-1.011357222
Fcna,0.669529439,0.914392847,0.699041356,0.817660982,0.625654861,-0.788929928,-1.124371115,-0.696903903,-1.20441403,-0.949224953,-2.467113947
Fetub,0.064079043,0.119088776,0.141664043,0.201326871,0.360677725,0.324358668,0.387833558,0.526868889,0.409253797,-0.516263263,0.116308877
Fga,2.390896015,2.508361884,2.552791658,2.429376547,2.378494606,1.861164707,1.923181834,1.884282847,1.9315557,2.226826787,-0.611524176
Fgb,2.18975259,2.165256821,2.209427971,2.236458664,2.248417433,2.252616573,2.3962251,2.345028961,2.279628599,2.400234274,0.284008947
Fgg,2.651704339,2.651760039,2.66483399,2.398777316,2.136019057,2.293091727,2.367013617,2.257684442,2.263948376,2.369924419,-0.152003343
Fn1,1.95210435,1.846360167,1.944542833,1.757485551,1.83140693,2.118883393,2.113245705,2.162827628,2.082707437,2.158986139,0.476096719
Fstl5,-0.507840966,-0.499830002,-0.517654671,-0.226569064,-0.255467529,-0.773952982,-0.818307877,-0.986639198,-1.123320873,-0.805511967,-0.771444094
Gapdh,-2.006716697,-1.437960273,-1.081896377,-1.700310144,-1.599722957,-1.06665272,-0.640011263,-0.72659821,-0.807001009,-0.445211688,1.135329814
Gc,0.797313148,0.909636172,0.912473438,1.032561732,0.960549341,1.220192331,1.234650348,1.288250679,1.242721888,1.353379166,0.547088601
Gpld1,0.375657508,0.417822689,0.323923737,0.727919097,0.254785947,0.66437273,0.687903612,0.750070138,0.768658051,0.94958703,0.517866623
Gpx3,0.447699866,0.242347802,0.347424636,0.465932591,0.53411475,-0.376205549,-1.016242316,-0.457021186,-0.941850923,-0.180154291,-1.482587747
Grn,0.046587747,-0.570330072,-0.687191052,-1.120517324,-1.520969787,-0.663473908,-1.187358064,-0.559188881,-0.767146137,-0.232126959,0.098547386
Gsn,1.183332703,1.046858257,0.933251407,0.735070603,0.706210921,1.114296709,1.054705422,0.987533478,0.972795386,0.759920768,0.148451152
H2-Q10,1.079227723,0.664910072,1.096553853,0.894437006,0.665828099,0.190774165,-0.182557249,-0.153769515,-0.109871401,0.878695856,-1.104197988
Hba-a2,1.020125553,1.003051191,1.073995925,1.305503364,1.465387002,0.944295486,1.232140531,1.066320262,1.166171556,1.449864422,0.025338971
Hbb-bs,1.256884317,1.252486741,1.28866175,1.402211456,1.432477718,1.239404265,1.29316046,0.957908707,0.951467012,0.829423749,-0.331632347
Hgfac,0.015883974,-0.117341346,0.082025891,-1.84218841,-1.446410657,-0.011685237,-0.662602107,-0.632925907,0.006393593,-0.427375156,0.491474322
Hmces,1.266199178,1.432350992,1.281941384,1.463099418,-2.269114185,-0.608393503,-0.717586524,-1.241879798,-0.896368931,-1.040469488,-2.152842847
Hp,0.330003798,0.459522964,0.261432214,0.605291804,0.927125625,1.442207485,1.485109185,1.652339234,1.509318387,1.455799239,1.477557137
Hpx,1.494312133,1.41812032,1.511031674,1.562494333,1.596950309,1.620316283,1.59918884,1.475971739,1.385507724,1.593968202,0.09314235
Hrg,0.680350963,0.848274271,0.901005608,1.08298035,1.058536508,0.724108603,0.365708325,0.552014577,0.733467519,0.587563175,-0.4312126
Hspa1a,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.401272572,-1.034732299,-1.077865748,-0.901449229,-0.416167538,-0.339734785
Hspa1b,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.401272572,-1.034732299,-1.077865748,-0.901449229,-0.416167538,-0.339734785
Hspa1l,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.401272572,-1.034732299,-1.077865748,-0.901449229,-0.416167538,-0.339734785
Hspa2,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.401272572,-1.034732299,-1.077865748,-0.901449229,-0.416167538,-0.339734785
