name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_7_1,2_7_2,2_7_3,2_7_4,FC_7
Kng1,1.230783517,1.013766174,1.114277358,1.046301338,1.309895516,1.013100847,0.972570859,0.982256872,0.959172222,0.772888879
Krt10,-0.604472274,-0.474055275,-0.581529399,-0.437613611,-0.524400542,0.427860417,0.55684191,0.360681339,0.484139851,0.699256356
Lap3,-0.331667695,-0.253723863,0.194823687,-0.331317593,-0.579432734,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.333896033
Lcat,-1.542467351,-1.151460436,-1.524899746,-1.470535463,-1.103725885,0.403295518,0.424081857,0.402097217,0.543218502,0.949685733
Lifr,0.539458506,-0.223756546,0.457662551,-0.510335612,-0.322088705,0.696337086,0.734808991,0.729585991,0.701899886,0.839280286
Loxl1,-0.151550131,0.020536652,-0.15681749,-0.337352302,-0.683073878,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.333676463
Lrp1,-1.24282809,-1.347696256,-0.796013152,-1.575426721,-1.266686145,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.018381647
Man1a,-1.451854916,-1.600702592,-1.157831349,-1.184009476,-0.731649487,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.03002378
Masp1,-0.495090083,-0.317331608,-0.862580917,-0.260719008,0.172053082,0.709689842,0.704377166,0.706861063,0.708744756,0.930783405
Masp2,0.226129615,-0.032600109,-0.083757629,0.26021161,0.13314925,0.689403407,0.697886722,0.682239426,0.696043966,0.769850263
Mbl1,0.494183407,0.59801752,0.962179145,0.889103424,0.44665198,0.714559582,0.824538374,0.803213904,0.830242794,0.704550742
Mbl2,0.454753435,0.577560929,0.614005492,0.763861925,0.737786495,0.847265157,0.818464315,0.83757744,0.852786696,0.771701927
Mfap4,-1.691126514,-1.67390502,-1.668690576,-1.637005795,-1.471805917,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.898472201
Mmrn1,-0.40054632,-0.437213997,-0.422102101,-1.662018538,-1.156383598,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.153438778
Mug1,1.879509636,1.791032659,1.789996156,1.844079872,1.80395871,1.214527769,1.226919416,1.231280235,1.205335647,0.831506488
Mug2,-0.613626355,-0.789501832,-0.828894845,-0.521085407,-0.193130895,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.234680422
Mup10,-1.296375574,-0.878102455,-1.009994168,-1.365766903,-1.360507851,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.038764467
Mup12,-1.296375574,-0.878102455,-1.009994168,-1.365766903,-1.360507851,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.038764467
Mup17,-1.296375574,-0.878102455,-1.009994168,-1.365766903,-1.360507851,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.038764467
Mup18,-0.001215746,0.153301158,0.025366113,0.422036968,0.338111835,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.482960893
Mup19,-0.001215746,0.153301158,0.025366113,0.422036968,0.338111835,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.482960893
Orm1,-0.753217013,-1.061031128,-1.429175974,-1.098351662,-0.603060829,0.627201985,0.740412293,0.735128084,0.72039666,1.133941051
Pf4,-1.389376368,-1.51766148,-1.456856381,-1.168411881,-1.453977078,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.972235643
Piga,0.274781092,0.362607997,0.290577352,0.461743351,1.344209959,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.601725945
