name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,r2_1_2,r2_1_3,r2_1_4,r2_1_5,r2_2_1,r2_2_2,r2_2_3,r2_2_4,r2_2_5,FC_r2_2
Cpn1,0.426843408,0.369710434,0.408765385,0.372606393,0.391499308,0.365763132,0.369680985,0.458115609,0.38439751,0.383690506,0.011670622,0.365276383,0.320214334,0.469358604,0.48206241,0.613261152,0.520595854,0.541929106,0.422262327,0.388574367,0.55491048,0.153398105
Masp2,0.245114974,0.197336429,0.20503879,0.232144263,0.207707347,0.219051604,0.244805833,0.311211529,0.252769327,0.249542216,0.292267161,0.379056846,0.268226328,0.246881168,0.400398817,0.338162576,0.34254875,0.426019653,0.289790642,0.49446405,0.474224328,0.320908091
Serpinf2,0.725088242,0.718174292,0.62499188,0.646428249,0.693208574,0.665105841,0.63800541,0.722561718,0.623028654,0.549238419,-0.269090098,0.383765546,0.402019547,0.381206154,0.555953253,0.432921404,0.407949177,0.423509605,-0.325104231,0.36896261,0.189219744,-0.85412691
Tns4,0.083695722,0.235825981,0.217089525,0.233425432,0.298114673,0.210681077,0.108139404,-0.370223724,-0.251430994,-0.217020655,-2.323364707,0.397066497,0.447669193,0.417596311,0.587218867,-0.009303012,-0.376999596,0.207672108,-0.293052281,-0.247908385,-0.137115653,-2.116942529
Itih3,0.377854118,0.318324994,0.343045013,0.343721632,0.352631585,0.248150799,0.251174279,0.335027226,0.271716639,0.275972564,-0.49859413,0.414096437,0.170658423,0.281689941,0.227039813,0.331859049,0.483555972,0.240297889,0.524286285,0.520270269,0.615631073,0.768135906
Egfr,0.501417841,0.453960267,0.494418532,0.424649213,0.451190799,0.503781714,0.500608559,0.58031331,0.514677682,0.483926911,0.405107651,0.41768425,0.402389081,0.436225173,0.644876667,0.566683609,0.657840421,0.42228791,0.709956048,0.728851868,0.611193479,0.538560536
Serpinc1,0.54186768,0.504417054,0.508269639,0.465822,0.478021352,0.498316659,0.493417466,0.592280862,0.500790955,0.503381612,0.16081297,0.420882612,0.434835851,0.419571822,0.460706143,0.512940104,0.782566947,0.620382965,0.761778562,0.854182519,0.835272694,1.28447634
Hp,0.684526463,0.488189161,0.527408023,0.593762258,0.626824661,-0.724015048,-0.532940153,-0.421867453,-0.204435451,-0.664344933,-7.995533388,0.427806312,0.497743455,0.401877638,0.567506882,0.741975933,0.22674661,-0.14260387,0.470651349,0.9923648,0.860305831,-0.16587412
Apoa2,-0.052576309,0.100988111,0.038274878,0.035120394,0.119828932,0.521037897,0.409832075,0.269743022,0.317547767,0.340165464,2.375628723,0.434333259,0.502219462,0.366384331,0.096521878,0.270628591,-0.073788982,-0.145785366,-0.25438126,-0.07640271,0.556520975,-1.304696663
Serpina1e,0.536120587,0.522695412,0.596715527,0.59963449,0.634818802,0.627322347,0.628892348,0.620794878,0.693987735,0.584448186,0.423201749,0.44120706,0.449766481,0.42677713,0.55267924,0.600811565,0.901686308,0.69981733,0.958460053,0.910426874,0.93597861,1.54694231
Serpina1d,0.423789035,0.389073458,0.398523683,0.328340143,0.371737533,0.652813173,0.496534672,0.615268018,0.592061376,0.510865606,1.424762128,0.442734436,0.490640332,0.413905193,0.511920199,0.571018798,0.698640543,0.734063552,0.670150157,0.688853137,0.701337826,0.85547667
