name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,,,,,,,,,
Qsox1,0.240154569,0.182910553,0.142867437,0.243952914,0.196976852,0.062854928,0.213661177,0.2349934,0.130207478,-0.042634075,-0.568794684,0.21348965,,,,,,,,,
B2m,0.558814524,0.437302929,0.258324289,0.464642353,0.493354091,0.5035931,0.54257702,0.634499007,0.466243153,0.539918477,0.703273273,0.214837193,,,,,,,,,
Serpind1,0.260765053,0.207922891,0.230954842,0.220093869,0.229068573,0.147329765,0.168904411,0.287985396,0.181992982,0.19059975,-0.231021949,0.232570008,,,,,,,,,
Thbs4,-0.024191787,0.47707767,0.303036083,0.372984379,0.102427873,0.227034621,0.14961137,-0.285080969,0.201141607,0.196060146,-1.048871935,0.232915371,,,,,,,,,
Apoc1,0.400530767,0.368847238,0.389335118,0.405053015,0.40412816,0.463534664,0.478894289,0.50173825,0.453702312,0.500937495,0.637842965,0.237494255,,,,,,,,,
Ca2,0.021114062,0.026066549,0.053839991,0.018814158,-0.252311086,0.101625176,0.472597027,-0.238149248,0.463985598,-0.421919897,0.718917298,0.240746946,,,,,,,,,
Apoa4,0.57987818,0.586552218,0.614216259,0.540054045,0.569293502,0.597470562,0.601515602,0.69382703,0.635801961,0.624691717,0.409367314,0.254404479,,,,,,,,,
F12,0.301850575,0.259826487,0.347518598,0.266864205,0.298117304,0.253333739,0.279959013,0.350344184,0.312814442,0.303372525,0.054092252,0.262220983,,,,,,,,,
Mup1,0.422105825,0.36916719,0.396929321,0.354658164,0.388722906,0.255907571,0.252867492,0.35918454,0.284959014,0.262703256,-0.713493344,0.26984534,,,,,,,,,
Mup6,0.422105825,0.36916719,0.396929321,0.354658164,0.388722906,0.255907571,0.252867492,0.35918454,0.284959014,0.262703256,-0.713493344,0.26984534,,,,,,,,,
Mup8,0.422105825,0.36916719,0.396929321,0.354658164,0.388722906,0.255907571,0.252867492,0.35918454,0.284959014,0.262703256,-0.713493344,0.26984534,,,,,,,,,
Fbln1,0.183944733,0.337076394,0.301223511,0.304095534,0.368260566,0.275279979,0.290306776,0.207152484,0.297271562,0.324669457,-0.124972384,0.269870457,,,,,,,,,
Ambp,0.427574274,0.38523617,0.351203608,0.406556613,0.413213015,0.325014446,0.295039533,0.407916169,0.340298262,0.345153839,-0.36219108,0.270976875,,,,,,,,,
Ttr,0.180813033,0.286884732,0.206674282,0.218276489,0.210117605,0.291548274,0.290761191,0.396459931,0.344936395,0.361201412,0.844663071,0.277537514,,,,,,,,,
Hgfac,-0.009725713,0.246350265,0.224872601,0.019067746,0.138610017,0.085215727,0.249341025,0.163636326,0.188380084,0.21344091,0.408780957,0.278126515,,,,,,,,,
Actb,0.40316499,0.454163503,0.461077537,0.350271604,0.34804117,0.434008083,0.500648009,0.409813844,0.375414645,0.399887954,0.169189768,0.279487872,,,,,,,,,
Actbl2,0.40316499,0.454163503,0.461077537,0.350271604,0.34804117,0.434008083,0.500648009,0.409813844,0.375414645,0.399887954,0.169189768,0.279487872,,,,,,,,,
Actg1,0.40316499,0.454163503,0.461077537,0.350271604,0.34804117,0.434008083,0.500648009,0.409813844,0.375414645,0.399887954,0.169189768,0.279487872,,,,,,,,,
Rbp4,0.317488821,0.248595027,0.246199294,0.23868648,0.300941857,0.021528651,0.100420571,0.118255082,0.212187135,0.193391237,-0.992099875,0.289552375,,,,,,,,,
Grn,-0.065822888,-0.014447523,0.013146934,-0.005760824,0.027747939,-0.034716695,0.002398455,-0.421098106,0.008086479,-0.091834501,-0.706971241,0.292995957,,,,,,,,,
Spp2,0.235749429,0.292900083,0.272920393,0.306317631,0.277006685,0.349858789,0.319979225,0.222447941,0.315189948,0.344019047,0.252669069,0.294972689,,,,,,,,,
Fetub,0.353280581,0.310178762,0.286200695,0.30628177,0.274811232,0.334193259,0.332705392,0.454375352,0.36517448,0.320765925,0.412694218,0.301466767,,,,,,,,,
Efemp1,0.231301251,0.286847766,0.324318194,0.294433576,0.269731129,0.246019174,0.245806963,0.161551892,0.27716411,0.24791558,-0.310218133,0.327857517,,,,,,,,,
